ToyCar
section,domain,AUC,pAUC,precision,recall,F1_score
00,source,0,0,1.0,0.2232217224720973,0.36497344409641835
arithmetic mean,,0.0,0.0,1.0,0.2232217224720973,0.36497344409641835
harmonic mean,,2.220446049250313e-16,2.220446049250313e-16,1.0,0.2232217224720973,0.36497344409641835

00,target,0,0,1.0,0.034482758620689655,0.06666666666666667
arithmetic mean,,0.0,0.0,1.0,0.12885224054639347,0.2158200553815425
harmonic mean,,2.220446049250313e-16,2.220446049250313e-16,1.0,0.059737422820587124,0.11274004585322761

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.0,0.0,1.0,0.12885224054639347,0.2158200553815425
"harmonic mean over all machine types, sections, and domains",,2.220446049250313e-16,2.220446049250313e-16,1.0,0.059737422820587124,0.11274004585322761

